IDfg,Name,Team,contract_value,war_market_value,surplus_value
19614,Cionel Perez,bal,"$2,200,000",7.65,5.45
24703,Jonah Bride,mia,"$800,000",6.23,5.43
15274,Mike Tauchman,chw,"$1,950,000",7.33,5.38
19346,Eli White,atl,"$800,000",6.05,5.25
19677,Gregory Soto,bal,"$5,820,000",11.05,5.23
14857,Joe Mantiply,ari,"$1,580,000",6.8,5.22
27572,Carmen Mlodzinski,pit,"$800,000",5.95,5.15
22387,Josh Winckowski,bos,"$800,000",5.95,5.15
16866,Reed Garrett,nym,"$800,000",5.95,5.15
25839,Luis Contreras,hou,"$800,000",5.95,5.15
22192,Hans Crouse,laa,"$800,000",5.95,5.15
21620,Jake Cousins,nyy,"$800,000",5.95,5.15
17536,Ryan Burr,tor,"$800,000",5.95,5.15
31883,Troy Taylor,sea,"$800,000",5.95,5.15
20349,Zack Kelly,bos,"$800,000",5.95,5.15
18864,Pedro Avila,cle,"$800,000",5.95,5.15
23135,Eduardo Salazar,wsh,"$800,000",5.95,5.15
29878,Sean Burke,chw,"$800,000",5.95,5.15
27470,Emerson Hancock,sea,"$800,000",5.95,5.15
31757,Mason Miller,ath,"$800,000",5.95,5.15
20546,Grant Anderson,tex,"$800,000",5.95,5.15
26299,Josh Jung,tex,"$800,000",5.89,5.09
15823,Zack Littell,tb,"$6,000,000",11.05,5.05
19950,Andres Gimenez,tor,"$10,571,428",15.52,4.95
30116,Seiya Suzuki,chc,"$17,000,000",21.94,4.94
22713,Carlos Hernandez,kc,"$1,880,000",6.8,4.92
15112,Ryan McMahon,col,"$12,000,000",16.88,4.88
21622,Jake McCarthy,ari,"$800,000",5.66,4.86
22563,Gabriel Arias,cle,"$800,000",5.58,4.78
19531,Jason Foley,det,"$2,900,000",7.65,4.75
16703,Julian Merryweather,chc,"$1,225,000",5.95,4.72
17968,Brock Burke,laa,"$1,250,000",5.95,4.7
15507,Hunter Harvey,kc,"$2,975,000",7.65,4.68
16647,Ryan Thompson,ari,"$3,070,000",7.65,4.58
22217,Luis Campusano,sd,"$1,862,000",6.36,4.5
20287,Ben Rortvedt,tb,"$1,000,000",5.47,4.47
22361,Colin Holderman,pit,"$1,500,000",5.95,4.45
20308,Jake Meyers,hou,"$2,000,000",6.38,4.38
23733,Ezequiel Duran,tex,"$800,000",5.17,4.37
16835,Brennan Bernardino,bos,"$800,000",5.1,4.3
20375,Greg Weissert,bos,"$800,000",5.1,4.3
18555,Logan Allen,cle,"$800,000",5.1,4.3
23165,Steven Cruz,kc,"$800,000",5.1,4.3
21584,Tristan Beck,sf,"$800,000",5.1,4.3
27608,Jeff Criswell,col,"$800,000",5.1,4.3
16727,Brock Stewart,min,"$800,000",5.1,4.3
27582,Davis Daniel,laa,"$800,000",5.1,4.3
19962,Joey Wentz,pit,"$800,000",5.1,4.3
