Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Aaron Judge,nyy,"$40,000,000",2.39060049534591,17961020.09,40000000.0,-22038979.91
Oswaldo Cabrera,nyy,ARB3,1.6863244637186792,11712788.14,5856394.07,5856394.07
Max Fried,nyy,"$31,500,000",1.4,9724050.0,27250000.0,-17525950.0
Gerrit Cole,nyy,,0.6,4167450.0,36000000.0,-31832550.0
Will Warren,nyy,ARB1,0.6,4167450.0,1157625.0,3009825.0
Ian Hamilton,nyy,ARB3,0.5,3472875.0,4630500.0,-1157625.0
Cody Poteet,nyy,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Yoendrys Gomez,nyy,ARB1,0.3,2083725.0,1157625.0,926100.0
Jake Cousins,nyy,ARB3,0.2,1389150.0,4630500.0,-3241350.0
Giancarlo Stanton,nyy,Club,-2.0659539694650992,0.0,15000000.0,-15000000.0
Rafael Marchán,phi,ARB3,2.6774534733532875,20949633.69,10474816.85,10474816.85
Kyle Tyler,phi,ARB1,1.9,13196925.0,3299231.25,9897693.75
Orion Kerkering,phi,ARB2,1.8,12502350.0,4125775.5,8376574.5
Cristopher Sanchez,phi,ARB 3,1.4,9724050.0,9500000.0,224050.0
Bryce Harper,phi,"$27,538,462",1.1098337964193117,7708628.09,25384615.0,-17675986.91
Max Lazar,phi,ARB1,0.5,3472875.0,1157625.0,2315250.0
Tyler Gilbert,phi,ARB2,0.4,2778300.0,2894062.5,-115762.5
Tanner Banks,phi,ARB3,0.3,2083725.0,4630500.0,-2546775.0
José Cuas,phi,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Tyler Phillips,phi,ARB1,0.3,2083725.0,1157625.0,926100.0
Kody Clemens,phi,ARB3,0.2434296801419936,1690801.7,4630500.0,-2939698.3
Trea Turner,phi,"$27,272,727",0.0636459918750167,442069.15,27272727.0,-26830657.85
Aaron Nola,phi,"$24,571,428",-0.1,0.0,24571429.0,-24571429.0
Jared Jones,pit,ARB2,4.2,37507050.0,12377326.5,25129723.5
Paul Skenes,pit,ARB1,3.7,31603162.5,7900790.63,23702371.88
Oneil Cruz,pit,ARB3,1.4484023305180311,10060240.49,5030120.24,5030120.24
Kyle Nicolas,pit,ARB1,1.2,8334900.0,2083725.0,6251175.0
Ke'Bryan Hayes,pit,,1.0090068939718244,7008309.63,8000000.0,-991690.37
Joshua Palacios,pit,ARB2,0.8959750228319451,6223218.51,2894062.5,3329156.01
Jack Suwinski,pit,ARB3,0.8025944542501101,5574620.43,4630500.0,944120.43
Carmen Mlodzinski,pit,ARB2,0.6,4167450.0,2894062.5,1273387.5
Joey Wentz,pit,ARB3,0.5,3472875.0,4630500.0,-1157625.0
Colin Holderman,pit,ARB 4,0.4,2778300.0,4630500.0,-1852200.0
Bryan Reynolds,pit,,0.3376661206653753,2345344.46,15250000.0,-12904655.54
Mitch Keller,pit,,0.3,2083725.0,20411500.0,-18327775.0
Peter Strzelecki,pit,ARB1,0.2,1389150.0,1157625.0,231525.0
Bailey Falter,pit,ARB 4,-0.3,0.0,4630500.0,-4630500.0
Fernando Tatis Jr.,sd,,4.152571380733032,36848195.34,25714285.0,11133910.34
Randy Vasquez,sd,ARB1,2.1,14933362.5,3733340.63,11200021.88
Luis Campusano,sd,ARB 4,1.3431311875715053,9329053.45,4664526.72,4664526.72
Stephen Kolek,sd,ARB2,0.9,6251175.0,2894062.5,3357112.5
Jeremiah Estrada,sd,ARB2,0.8,5556600.0,2894062.5,2662537.5
Eguy Rosario,sd,ARB2,0.7883160523743997,5475446.22,2894062.5,2581383.72
Sean Reynolds,sd,ARB1,0.4,2778300.0,1157625.0,1620675.0
Jhony Brito,sd,ARB2,0.4,2778300.0,2894062.5,-115762.5
Bryan Hoeing,sd,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Xander Bogaerts,sd,"$25,454,545",0.3733388096683543,2593118.04,25454545.0,-22861426.96
Manny Machado,sd,"$39,090,909",0.3727099716813072,2588750.29,31818182.0,-29229431.71
Yuki Matsui,sd,Player,0.3,2083725.0,7000000.0,-4916275.0
Tom Cosgrove,sd,ARB2,0.2,1389150.0,2894062.5,-1504912.5
Alek Jacob,sd,ARB1,0.2,1389150.0,1157625.0,231525.0
Jake Cronenworth,sd,,-0.0230678002540819,0.0,12285714.0,-12285714.0
Matt Waldron,sd,ARB2,-0.2,0.0,2894062.5,-2894062.5
Yu Darvish,sd,"$15,000,000",-0.7,0.0,18000000.0,-18000000.0
Bryce Miller,sea,ARB3,4.0,34728750.0,17364375.0,17364375.0
Julio Rodriguez,sea,,3.8799050038010487,33477525.27,19912500.0,13565025.27
Bryan Woo,sea,ARB2,3.4,28477575.0,9397599.75,19079975.25
Gregory Santos,sea,ARB3,1.8,12502350.0,6251175.0,6251175.0
George Kirby,sea,ARB 4,1.6,11113200.0,5556600.0,5556600.0
Andres Munoz,sea,Club,0.9,6251175.0,10000000.0,-3748825.0
Eduard Bazardo,sea,ARB2,0.7,4862025.0,2894062.5,1967962.5
Troy Taylor,sea,ARB1,0.7,4862025.0,1215506.25,3646518.75
Collin Snider,sea,ARB3,0.6,4167450.0,4630500.0,-463050.0
Cody Bolton,sea,ARB1,0.4,2778300.0,1157625.0,1620675.0
Luis Castillo,sea,Vesting,0.3,2083725.0,25000000.0,-22916275.0
Emerson Hancock,sea,ARB1,0.1,694575.0,1157625.0,-463050.0
Luke Raley,sea,ARB3,-0.9737116994162198,0.0,4630500.0,-4630500.0
Hayden Birdsong,sf,ARB1,3.6,30561300.0,7640325.0,22920975.0
Keaton Winn,sf,ARB2,3.1,25351987.5,8366155.88,16985831.62
Kyle Harrison,sf,ARB2,2.4,18058950.0,5959453.5,12099496.5
Logan Webb,sf,,1.4,9724050.0,24000000.0,-14275950.0
Willy Adames,sf,"$31,142,857",1.1292658713133956,7843598.43,26000000.0,-18156401.57
Sean Hjelle,sf,ARB2,1.1,7640325.0,2894062.5,4746262.5
Landen Roupp,sf,ARB1,1.1,7640325.0,1910081.25,5730243.75
Randy Rodriguez,sf,ARB1,0.7,4862025.0,1215506.25,3646518.75
Erik Miller,sf,ARB2,0.5,3472875.0,2894062.5,578812.5
Spencer Bivens,sf,ARB1,0.4,2778300.0,1157625.0,1620675.0
Ryan Walker,sf,ARB3,0.3,2083725.0,4630500.0,-2546775.0
Tristan Beck,sf,ARB2,0.3,2083725.0,2894062.5,-810337.5
Austin Warren,sf,ARB 4,0.3,2083725.0,4630500.0,-2546775.0
Heliot Ramos,sf,ARB3,0.2638893959784857,1832909.77,4630500.0,-2797590.23
