Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Tanner Hall,-1.2652155,,MIN,43.0
Trey McLoughlin,-1.2667972,,NYM,24.0
Jerson Alejandro,-1.2671387,,NYY,38.0
Cole Schoenwetter,-1.268018,,CIN,20.0
Ruddy Navarro,-1.2693572,,SEA,32.0
Tekoah Roby,-1.2716348,106.0,STL,4.0
Brant Hurter,-1.2731514,,DET,17.0
Trey Dombroski,-1.2758615,,HOU,31.0
Ryan Fernandez,-1.284172,,STL,18.0
Drew Gray,-1.2865796,,CHC,41.0
Patrick Halligan,-1.2873559,,ATL,35.0
Shane Drohan,-1.2880186,,CHW,16.0
J.T. Ginn,-1.2886248,,OAK,15.0
Brady Basso,-1.2898203,,OAK,13.0
Hunter Dobbins,-1.29004,,BOS,22.0
Andrew Dunford,-1.2911061,,DET,30.0
Winston Santos,-1.2916598,,TEX,6.0
Hyun-Seok Jang,-1.2944454,,LAD,24.0
Kody Funderburk,-1.2949815,,MIN,26.0
Humberto Cruz,-1.2968853,,SDP,15.0
Coleman Crow,-1.3021827,,MIL,21.0
Randel Clemente,-1.3026445,,STL,33.0
Luis Serna,-1.3038244,,NYY,30.0
Riley Martin,-1.3046718,,CHC,33.0
Adrian Acosta,-1.3048964,,LAA,19.0
Simeon Woods Richardson,-1.306656,,MIN,20.0
Bryan Mena,-1.3085103,,COL,41.0
Justin Meis,-1.3086746,,PIT,38.0
Justin Sterner,-1.3093839,,TBR,38.0
Devin Sweet,-1.318028,,DET,27.0
Daniel Espino,-1.3184885,,CLE,37.0
Owen White,-1.3204054,,TEX,17.0
Fernando Perez,-1.324252,,TOR,29.0
Paul Wilson,-1.3243989,,DET,15.0
Emmanuel Ramirez,-1.3246491,,MIA,25.0
Jacob Steinmetz,-1.32474,,ARI,48.0
Isaiah Coupet,-1.3249943,,COL,46.0
Jean Pinto,-1.3270887,,BAL,45.0
Landen Maroudis,-1.3284476,,TOR,18.0
Wyatt Crowell,-1.3289824,,LAD,38.0
Lyon Richardson,-1.3366582,,CIN,14.0
Nick Avila,-1.34428,,SFG,34.0
Caden Grice,-1.3448831,,ARI,23.0
Jacob Latz,-1.3516533,,TEX,22.0
Wilkin Ramos,-1.3532579,,NYM,34.0
Matt Pushard,-1.3551642,,MIA,26.0
